id,料理名ch,カテゴリー,材料ch,説明ch,料理名jp,材料jp,説明jp,料理名en,材料en,説明en,写真ファイル名,ソート順
67,火焰飘雪,凉菜,时令蔬菜、葱、蒜、香醋、香油,清爽开胃，口感鲜明，适合作为餐前小菜。,火焰飘雪,きゅうり、ねぎ、にんにく、黒酢、ごま油,さっぱりとした味わいで、前菜にもぴったりの一品です。,Flame and Snow,"cucumber, scallion, garlic, black vinegar, sesame oil",A refreshing appetizer with clean flavors and appealing texture.,flame-and-snow.jpg,67
68,东坡肉,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,东坡肉,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Dongpo Pork,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,dongpo-pork.jpg,68
69,香辣蟹,热菜-海鲜,海鲜、葱、姜、蒜、酱油、调味料,海鲜鲜甜，调味清晰，突出食材风味。,香辣蟹,海鮮、ねぎ、生姜、にんにく、醤油、調味料,海鮮の自然な甘味と旨味を引き出した一皿です。,Spicy Crab,"seafood, scallion, ginger, garlic, soy sauce, seasonings",Fresh seafood prepared to highlight its natural sweetness and umami.,spicy-crab.jpg,69
70,蒸菜,热菜-素,时令蔬菜、蒜、葱、食用油、调味料,突出食材本味，香气自然，口感爽脆。,蒸菜,季節の野菜、にんにく、ねぎ、植物油、調味料,素材の持ち味を生かし、香りと食感を楽しめます。,Steamed Seasonal Vegetables,"seasonal vegetables, garlic, scallion, cooking oil, seasonings",A vegetable-forward dish that highlights natural flavor and texture.,steamed-seasonal-vegetables.jpg,70
71,芹菜炒肉片,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,芹菜炒肉片,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Celery with Sliced Pork,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,celery-with-sliced-pork.jpg,71
72,北京烤鸭,热菜-其他,鸭肉、薄饼、黄瓜、葱、甜面酱,香气丰富，层次分明，呈现餐厅特色风味。,北京ダック,北京ダック、薄餅、きゅうり、ねぎ、甜麺醤,香りと味わいのバランスを大切にした店のおすすめ料理です。,Peking Duck,"roast duck, pancakes, cucumber, scallion, sweet bean sauce","A flavorful house-style dish with a balanced, layered profile.",peking-duck.jpg,72
73,神秘的菜,创意菜,时令食材、香草、特色酱汁、调味料,融合不同风味与做法，呈现轻松有趣的创意表达。,神秘的菜,季節の食材、ハーブ、特製ソース、調味料,異なる食材や技法を組み合わせた、遊び心のある創作料理です。,Mystery Dish,"seasonal ingredients, herbs, signature sauce, seasonings",A playful creative dish combining distinctive ingredients and techniques.,mystery-dish.jpg,73
74,脆皮鱼,创意菜,时令食材、香草、特色酱汁、调味料,融合不同风味与做法，呈现轻松有趣的创意表达。,脆皮鱼,季節の食材、ハーブ、特製ソース、調味料,異なる食材や技法を組み合わせた、遊び心のある創作料理です。,Crispy Fish,"seasonal ingredients, herbs, signature sauce, seasonings",A playful creative dish combining distinctive ingredients and techniques.,crispy-fish.jpg,74
75,菠菜鸡蛋汤,汤,主料、葱、姜、豆腐、清汤,汤味清鲜，口感温润，适合佐餐。,菠菜鸡蛋汤,主材料、ねぎ、生姜、豆腐、だし,素材の旨味を生かした、やさしく温かなスープです。,Spinach Egg Soup,"main ingredients, scallion, ginger, tofu, stock","A warm, gentle soup that brings out the natural umami of its ingredients.",spinach-egg-soup.jpg,75
76,蒜苔炒肉,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,蒜苔炒肉,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Pork with Garlic Sprouts,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,pork-with-garlic-sprouts.jpg,76
